site,year,env,rep,row,col,entry,yield
Akron,2025,Akron_2025,1.00,4.00,3.00,16.00,57.01
Akron,2025,Akron_2025,2.00,12.00,7.00,16.00,54.93
Akron,2025,Akron_2025,3.00,13.00,9.00,16.00,50.73
Genoa,2025,Genoa_2025,1.00,4.00,1.00,16.00,30.39
Genoa,2025,Genoa_2025,2.00,26.00,4.00,16.00,52.66
Genoa,2025,Genoa_2025,3.00,7.00,6.00,16.00,33.41
Julesburg,2025,Julesburg_2025,1.00,1.00,3.00,16.00,64.88
Julesburg,2025,Julesburg_2025,2.00,3.00,6.00,16.00,56.30
Julesburg,2025,Julesburg_2025,3.00,12.00,12.00,16.00,79.16
Orchard,2025,Orchard_2025,1.00,17.00,2.00,16.00,23.77
Orchard,2025,Orchard_2025,2.00,1.00,5.00,16.00,30.35
Orchard,2025,Orchard_2025,3.00,2.00,8.00,16.00,33.46
Yuma,2025,Yuma_2025,1.00,5.00,2.00,16.00,86.37
Yuma,2025,Yuma_2025,2.00,15.00,3.00,16.00,
Yuma,2025,Yuma_2025,3.00,16.00,6.00,16.00,76.93
Burlington,2025,Burlington_2025,1.00,11.00,3.00,17.00,75.27
Burlington,2025,Burlington_2025,2.00,7.00,6.00,17.00,72.77
Burlington,2025,Burlington_2025,3.00,1.00,12.00,17.00,64.19
Lamar,2025,Lamar_2025,1.00,10.00,2.00,17.00,79.74
Lamar,2025,Lamar_2025,2.00,21.00,4.00,17.00,73.08
Lamar,2025,Lamar_2025,3.00,15.00,6.00,17.00,80.59
SLake,2025,SLake_2025,1.00,9.00,1.00,17.00,65.14
SLake,2025,SLake_2025,2.00,8.00,4.00,17.00,67.27
SLake,2025,SLake_2025,3.00,15.00,6.00,17.00,66.07
Walsh,2025,Walsh_2025,1.00,12.00,1.00,17.00,83.87
Walsh,2025,Walsh_2025,2.00,10.00,3.00,17.00,82.49
Walsh,2025,Walsh_2025,3.00,19.00,5.00,17.00,60.24
Akron,2025,Akron_2025,1.00,8.00,1.00,17.00,49.33
Akron,2025,Akron_2025,2.00,10.00,6.00,17.00,49.96
Akron,2025,Akron_2025,3.00,12.00,10.00,17.00,42.95
Genoa,2025,Genoa_2025,1.00,6.00,1.00,17.00,17.66
Genoa,2025,Genoa_2025,2.00,3.00,4.00,17.00,37.90
Genoa,2025,Genoa_2025,3.00,5.00,6.00,17.00,20.42
Julesburg,2025,Julesburg_2025,1.00,11.00,2.00,17.00,60.49
Julesburg,2025,Julesburg_2025,2.00,12.00,5.00,17.00,47.98
Julesburg,2025,Julesburg_2025,3.00,3.00,9.00,17.00,53.62
Orchard,2025,Orchard_2025,1.00,10.00,1.00,17.00,23.78
Orchard,2025,Orchard_2025,2.00,13.00,4.00,17.00,25.38
Orchard,2025,Orchard_2025,3.00,11.00,9.00,17.00,30.61
Yuma,2025,Yuma_2025,1.00,22.00,1.00,17.00,94.82
Yuma,2025,Yuma_2025,2.00,18.00,4.00,17.00,90.82
Yuma,2025,Yuma_2025,3.00,2.00,6.00,17.00,87.55
Burlington,2025,Burlington_2025,1.00,9.00,1.00,18.00,57.23
Burlington,2025,Burlington_2025,2.00,3.00,8.00,18.00,52.45
Burlington,2025,Burlington_2025,3.00,5.00,12.00,18.00,59.00
Lamar,2025,Lamar_2025,1.00,2.00,1.00,18.00,82.36
Lamar,2025,Lamar_2025,2.00,20.00,3.00,18.00,
Lamar,2025,Lamar_2025,3.00,5.00,6.00,18.00,79.77
SLake,2025,SLake_2025,1.00,8.00,2.00,18.00,58.47
SLake,2025,SLake_2025,2.00,12.00,3.00,18.00,58.01
SLake,2025,SLake_2025,3.00,7.00,6.00,18.00,55.67
Walsh,2025,Walsh_2025,1.00,18.00,1.00,18.00,54.97
Walsh,2025,Walsh_2025,2.00,6.00,4.00,18.00,64.67
Walsh,2025,Walsh_2025,3.00,14.00,6.00,18.00,59.25
Akron,2025,Akron_2025,1.00,13.00,3.00,18.00,38.52
Akron,2025,Akron_2025,2.00,12.00,8.00,18.00,48.59
Akron,2025,Akron_2025,3.00,5.00,10.00,18.00,31.57
Genoa,2025,Genoa_2025,1.00,11.00,1.00,18.00,45.02
Genoa,2025,Genoa_2025,2.00,25.00,3.00,18.00,32.92
Genoa,2025,Genoa_2025,3.00,2.00,6.00,18.00,40.93
Julesburg,2025,Julesburg_2025,1.00,3.00,1.00,18.00,57.95
Julesburg,2025,Julesburg_2025,2.00,8.00,7.00,18.00,45.09
Julesburg,2025,Julesburg_2025,3.00,10.00,12.00,18.00,67.56
Orchard,2025,Orchard_2025,1.00,8.00,2.00,18.00,17.36
Orchard,2025,Orchard_2025,2.00,17.00,4.00,18.00,19.54
Orchard,2025,Orchard_2025,3.00,7.00,7.00,18.00,30.39
Yuma,2025,Yuma_2025,1.00,8.00,1.00,18.00,93.26
Yuma,2025,Yuma_2025,2.00,10.00,3.00,18.00,84.89
Yuma,2025,Yuma_2025,3.00,2.00,5.00,18.00,85.11
Burlington,2025,Burlington_2025,1.00,4.00,2.00,20.00,69.06
Burlington,2025,Burlington_2025,2.00,3.00,5.00,20.00,67.08
Burlington,2025,Burlington_2025,3.00,1.00,9.00,20.00,74.93
Lamar,2025,Lamar_2025,1.00,4.00,1.00,20.00,79.36
Lamar,2025,Lamar_2025,2.00,2.00,4.00,20.00,75.34
Lamar,2025,Lamar_2025,3.00,8.00,6.00,20.00,78.69
SLake,2025,SLake_2025,1.00,13.00,2.00,20.00,67.25
SLake,2025,SLake_2025,2.00,7.00,2.00,20.00,74.72
SLake,2025,SLake_2025,3.00,3.00,5.00,20.00,73.60
Walsh,2025,Walsh_2025,1.00,1.00,2.00,20.00,64.38
Walsh,2025,Walsh_2025,2.00,16.00,3.00,20.00,79.03
Walsh,2025,Walsh_2025,3.00,21.00,6.00,20.00,83.40
Akron,2025,Akron_2025,1.00,3.00,3.00,20.00,56.77
Akron,2025,Akron_2025,2.00,12.00,5.00,20.00,45.82
Akron,2025,Akron_2025,3.00,9.00,10.00,20.00,45.19
Genoa,2025,Genoa_2025,1.00,9.00,2.00,20.00,57.73
Genoa,2025,Genoa_2025,2.00,19.00,3.00,20.00,39.00
Genoa,2025,Genoa_2025,3.00,1.00,6.00,20.00,40.58
Julesburg,2025,Julesburg_2025,1.00,11.00,1.00,20.00,61.19
Julesburg,2025,Julesburg_2025,2.00,4.00,5.00,20.00,55.29
Julesburg,2025,Julesburg_2025,3.00,9.00,11.00,20.00,58.73
Orchard,2025,Orchard_2025,1.00,13.00,3.00,20.00,24.15
Orchard,2025,Orchard_2025,2.00,5.00,6.00,20.00,26.75
Orchard,2025,Orchard_2025,3.00,2.00,9.00,20.00,40.82
Yuma,2025,Yuma_2025,1.00,14.00,2.00,20.00,85.84
Yuma,2025,Yuma_2025,2.00,16.00,4.00,20.00,91.86
Yuma,2025,Yuma_2025,3.00,12.00,6.00,20.00,90.26
Burlington,2025,Burlington_2025,1.00,5.00,3.00,21.00,64.67
Burlington,2025,Burlington_2025,2.00,3.00,6.00,21.00,66.35
Burlington,2025,Burlington_2025,3.00,8.00,10.00,21.00,70.46
Lamar,2025,Lamar_2025,1.00,21.00,1.00,21.00,73.76
Lamar,2025,Lamar_2025,2.00,9.00,3.00,21.00,72.39
Lamar,2025,Lamar_2025,3.00,13.00,5.00,21.00,77.39
SLake,2025,SLake_2025,1.00,18.00,1.00,21.00,62.61
SLake,2025,SLake_2025,2.00,6.00,3.00,21.00,66.60
SLake,2025,SLake_2025,3.00,14.00,6.00,21.00,61.88
Walsh,2025,Walsh_2025,1.00,6.00,2.00,21.00,71.42
Walsh,2025,Walsh_2025,2.00,5.00,3.00,21.00,77.83
Walsh,2025,Walsh_2025,3.00,18.00,6.00,21.00,77.77
Akron,2025,Akron_2025,1.00,9.00,3.00,21.00,55.16
Akron,2025,Akron_2025,2.00,4.00,6.00,21.00,53.35
Akron,2025,Akron_2025,3.00,3.00,9.00,21.00,51.34
Genoa,2025,Genoa_2025,1.00,17.00,1.00,21.00,53.92
Genoa,2025,Genoa_2025,2.00,11.00,4.00,21.00,52.87
Genoa,2025,Genoa_2025,3.00,23.00,5.00,21.00,45.51
Julesburg,2025,Julesburg_2025,1.00,12.00,1.00,21.00,57.17
Julesburg,2025,Julesburg_2025,2.00,6.00,8.00,21.00,53.91
Julesburg,2025,Julesburg_2025,3.00,8.00,10.00,21.00,62.47
Orchard,2025,Orchard_2025,1.00,3.00,1.00,21.00,18.07
Orchard,2025,Orchard_2025,2.00,8.00,5.00,21.00,20.17
Orchard,2025,Orchard_2025,3.00,7.00,8.00,21.00,30.99
Yuma,2025,Yuma_2025,1.00,1.00,2.00,21.00,93.10
Yuma,2025,Yuma_2025,2.00,17.00,3.00,21.00,90.58
Yuma,2025,Yuma_2025,3.00,22.00,6.00,21.00,82.74
Burlington,2025,Burlington_2025,1.00,11.00,4.00,22.00,64.53
Burlington,2025,Burlington_2025,2.00,9.00,8.00,22.00,66.67
Burlington,2025,Burlington_2025,3.00,6.00,9.00,22.00,69.43
Lamar,2025,Lamar_2025,1.00,14.00,2.00,22.00,72.11
Lamar,2025,Lamar_2025,2.00,18.00,4.00,22.00,72.20
Lamar,2025,Lamar_2025,3.00,11.00,6.00,22.00,71.95
SLake,2025,SLake_2025,1.00,5.00,1.00,22.00,69.45
SLake,2025,SLake_2025,2.00,10.00,3.00,22.00,69.44
SLake,2025,SLake_2025,3.00,2.00,6.00,22.00,59.79
Walsh,2025,Walsh_2025,1.00,18.00,2.00,22.00,71.16
Walsh,2025,Walsh_2025,2.00,1.00,3.00,22.00,71.57
Walsh,2025,Walsh_2025,3.00,7.00,5.00,22.00,61.91
Akron,2025,Akron_2025,1.00,11.00,4.00,22.00,46.47
Akron,2025,Akron_2025,2.00,9.00,7.00,22.00,49.84
Akron,2025,Akron_2025,3.00,5.00,9.00,22.00,47.13
Genoa,2025,Genoa_2025,1.00,11.00,2.00,22.00,51.41
Genoa,2025,Genoa_2025,2.00,3.00,3.00,22.00,44.56
Genoa,2025,Genoa_2025,3.00,7.00,5.00,22.00,37.49
Julesburg,2025,Julesburg_2025,1.00,11.00,3.00,22.00,71.48
Julesburg,2025,Julesburg_2025,2.00,9.00,5.00,22.00,57.05
Julesburg,2025,Julesburg_2025,3.00,6.00,11.00,22.00,53.31
Orchard,2025,Orchard_2025,1.00,9.00,2.00,22.00,29.15
Orchard,2025,Orchard_2025,2.00,11.00,4.00,22.00,27.74
Orchard,2025,Orchard_2025,3.00,1.00,9.00,22.00,35.60
Yuma,2025,Yuma_2025,1.00,6.00,1.00,22.00,93.41
Yuma,2025,Yuma_2025,2.00,23.00,4.00,22.00,85.22
Yuma,2025,Yuma_2025,3.00,18.00,6.00,22.00,78.75
Burlington,2025,Burlington_2025,1.00,8.00,4.00,23.00,53.13
Burlington,2025,Burlington_2025,2.00,1.00,6.00,23.00,57.24
Burlington,2025,Burlington_2025,3.00,4.00,9.00,23.00,63.90
Lamar,2025,Lamar_2025,1.00,20.00,1.00,23.00,75.80
Lamar,2025,Lamar_2025,2.00,19.00,3.00,23.00,71.09
Lamar,2025,Lamar_2025,3.00,4.00,6.00,23.00,78.08
SLake,2025,SLake_2025,1.00,6.00,1.00,23.00,64.39
SLake,2025,SLake_2025,2.00,14.00,3.00,23.00,70.54
SLake,2025,SLake_2025,3.00,5.00,5.00,23.00,68.77
Walsh,2025,Walsh_2025,1.00,12.00,2.00,23.00,67.36
Walsh,2025,Walsh_2025,2.00,15.00,4.00,23.00,70.06
Walsh,2025,Walsh_2025,3.00,20.00,5.00,23.00,
Akron,2025,Akron_2025,1.00,5.00,4.00,23.00,49.26
Akron,2025,Akron_2025,2.00,10.00,8.00,23.00,55.56
Akron,2025,Akron_2025,3.00,3.00,11.00,23.00,45.64
Genoa,2025,Genoa_2025,1.00,5.00,2.00,23.00,29.81
Genoa,2025,Genoa_2025,2.00,20.00,3.00,23.00,34.62
Genoa,2025,Genoa_2025,3.00,9.00,6.00,23.00,39.41
Julesburg,2025,Julesburg_2025,1.00,2.00,1.00,23.00,44.77
Julesburg,2025,Julesburg_2025,2.00,8.00,6.00,23.00,53.00
Julesburg,2025,Julesburg_2025,3.00,10.00,10.00,23.00,59.53
Orchard,2025,Orchard_2025,1.00,6.00,1.00,23.00,18.10
Orchard,2025,Orchard_2025,2.00,18.00,6.00,23.00,26.73
Orchard,2025,Orchard_2025,3.00,13.00,8.00,23.00,30.54
Yuma,2025,Yuma_2025,1.00,18.00,1.00,23.00,87.42
Yuma,2025,Yuma_2025,2.00,22.00,4.00,23.00,84.48
Yuma,2025,Yuma_2025,3.00,4.00,5.00,23.00,81.86
Burlington,2025,Burlington_2025,1.00,8.00,3.00,24.00,61.31
Burlington,2025,Burlington_2025,2.00,7.00,5.00,24.00,64.91
Burlington,2025,Burlington_2025,3.00,5.00,10.00,24.00,70.37
Lamar,2025,Lamar_2025,1.00,1.00,1.00,24.00,
Lamar,2025,Lamar_2025,2.00,10.00,3.00,24.00,78.12
Lamar,2025,Lamar_2025,3.00,6.00,5.00,24.00,89.91
SLake,2025,SLake_2025,1.00,12.00,2.00,24.00,64.12
SLake,2025,SLake_2025,2.00,17.00,3.00,24.00,69.82
SLake,2025,SLake_2025,3.00,15.00,5.00,24.00,66.52
Walsh,2025,Walsh_2025,1.00,2.00,2.00,24.00,64.41
Walsh,2025,Walsh_2025,2.00,4.00,4.00,24.00,70.78
Walsh,2025,Walsh_2025,3.00,13.00,5.00,24.00,70.73
Akron,2025,Akron_2025,1.00,9.00,1.00,24.00,52.93
Akron,2025,Akron_2025,2.00,1.00,6.00,24.00,47.40
Akron,2025,Akron_2025,3.00,12.00,11.00,24.00,44.82
Genoa,2025,Genoa_2025,1.00,7.00,2.00,24.00,44.42
Genoa,2025,Genoa_2025,2.00,19.00,4.00,24.00,38.33
Genoa,2025,Genoa_2025,3.00,24.00,5.00,24.00,40.98
Julesburg,2025,Julesburg_2025,1.00,11.00,4.00,24.00,74.13
Julesburg,2025,Julesburg_2025,2.00,13.00,8.00,24.00,57.23
Julesburg,2025,Julesburg_2025,3.00,7.00,9.00,24.00,54.52
Orchard,2025,Orchard_2025,1.00,1.00,1.00,24.00,24.51
Orchard,2025,Orchard_2025,2.00,8.00,4.00,24.00,13.83
Orchard,2025,Orchard_2025,3.00,4.00,8.00,24.00,11.67
Yuma,2025,Yuma_2025,1.00,13.00,2.00,24.00,90.89
Yuma,2025,Yuma_2025,2.00,22.00,3.00,24.00,86.99
Yuma,2025,Yuma_2025,3.00,15.00,5.00,24.00,88.17
Burlington,2025,Burlington_2025,1.00,10.00,4.00,25.00,58.78
Burlington,2025,Burlington_2025,2.00,9.00,6.00,25.00,
Burlington,2025,Burlington_2025,3.00,2.00,10.00,25.00,63.34
Lamar,2025,Lamar_2025,1.00,5.00,2.00,25.00,70.83
Lamar,2025,Lamar_2025,2.00,11.00,3.00,25.00,67.69
Lamar,2025,Lamar_2025,3.00,9.00,5.00,25.00,75.80
SLake,2025,SLake_2025,1.00,7.00,1.00,25.00,69.70
SLake,2025,SLake_2025,2.00,12.00,4.00,25.00,66.99
SLake,2025,SLake_2025,3.00,17.00,5.00,25.00,68.05
Walsh,2025,Walsh_2025,1.00,11.00,2.00,25.00,69.51
Walsh,2025,Walsh_2025,2.00,18.00,4.00,25.00,62.39
Walsh,2025,Walsh_2025,3.00,5.00,6.00,25.00,68.65
Akron,2025,Akron_2025,1.00,13.00,4.00,25.00,38.17
Akron,2025,Akron_2025,2.00,11.00,7.00,25.00,44.71
Akron,2025,Akron_2025,3.00,12.00,12.00,25.00,39.55
Genoa,2025,Genoa_2025,1.00,21.00,2.00,25.00,50.68
Genoa,2025,Genoa_2025,2.00,23.00,4.00,25.00,53.48
Genoa,2025,Genoa_2025,3.00,14.00,5.00,25.00,47.66
Julesburg,2025,Julesburg_2025,1.00,8.00,4.00,25.00,69.11
Julesburg,2025,Julesburg_2025,2.00,12.00,8.00,25.00,54.72
Julesburg,2025,Julesburg_2025,3.00,3.00,12.00,25.00,67.50
Orchard,2025,Orchard_2025,1.00,13.00,2.00,25.00,25.03
Orchard,2025,Orchard_2025,2.00,3.00,6.00,25.00,
Orchard,2025,Orchard_2025,3.00,8.00,9.00,25.00,26.96
Yuma,2025,Yuma_2025,1.00,1.00,1.00,25.00,93.01
Yuma,2025,Yuma_2025,2.00,4.00,4.00,25.00,82.09
Yuma,2025,Yuma_2025,3.00,16.00,5.00,25.00,74.09
Burlington,2025,Burlington_2025,1.00,11.00,2.00,26.00,66.76
Burlington,2025,Burlington_2025,2.00,6.00,8.00,26.00,76.28
Burlington,2025,Burlington_2025,3.00,7.00,9.00,26.00,75.95
Lamar,2025,Lamar_2025,1.00,14.00,1.00,26.00,80.86
Lamar,2025,Lamar_2025,2.00,20.00,4.00,26.00,
Lamar,2025,Lamar_2025,3.00,3.00,6.00,26.00,79.67
SLake,2025,SLake_2025,1.00,18.00,2.00,26.00,73.96
SLake,2025,SLake_2025,2.00,3.00,4.00,26.00,
SLake,2025,SLake_2025,3.00,7.00,5.00,26.00,77.09
Walsh,2025,Walsh_2025,1.00,5.00,1.00,26.00,80.18
Walsh,2025,Walsh_2025,2.00,21.00,4.00,26.00,82.16
Walsh,2025,Walsh_2025,3.00,8.00,6.00,26.00,78.87
Akron,2025,Akron_2025,1.00,11.00,1.00,26.00,59.32
Akron,2025,Akron_2025,2.00,3.00,6.00,26.00,61.64
Akron,2025,Akron_2025,3.00,7.00,10.00,26.00,52.75
Genoa,2025,Genoa_2025,1.00,10.00,2.00,26.00,58.36
Genoa,2025,Genoa_2025,2.00,5.00,4.00,26.00,
Genoa,2025,Genoa_2025,3.00,17.00,5.00,26.00,49.21
Julesburg,2025,Julesburg_2025,1.00,13.00,3.00,26.00,71.64
Julesburg,2025,Julesburg_2025,2.00,1.00,6.00,26.00,49.67
Julesburg,2025,Julesburg_2025,3.00,10.00,11.00,26.00,68.13
Orchard,2025,Orchard_2025,1.00,5.00,2.00,26.00,34.91
Orchard,2025,Orchard_2025,2.00,12.00,6.00,26.00,29.34
Orchard,2025,Orchard_2025,3.00,6.00,9.00,26.00,49.20
Yuma,2025,Yuma_2025,1.00,7.00,1.00,26.00,101.91
Yuma,2025,Yuma_2025,2.00,12.00,3.00,26.00,93.11
Yuma,2025,Yuma_2025,3.00,3.00,6.00,26.00,85.56
Burlington,2025,Burlington_2025,1.00,4.00,4.00,27.00,68.48
Burlington,2025,Burlington_2025,2.00,6.00,7.00,27.00,75.62
Burlington,2025,Burlington_2025,3.00,10.00,9.00,27.00,75.87
Lamar,2025,Lamar_2025,1.00,11.00,2.00,27.00,74.50
Lamar,2025,Lamar_2025,2.00,18.00,3.00,27.00,73.77
Lamar,2025,Lamar_2025,3.00,17.00,6.00,27.00,
SLake,2025,SLake_2025,1.00,11.00,1.00,27.00,61.51
SLake,2025,SLake_2025,2.00,3.00,3.00,27.00,
SLake,2025,SLake_2025,3.00,2.00,5.00,27.00,60.15
Walsh,2025,Walsh_2025,1.00,3.00,1.00,27.00,73.50
Walsh,2025,Walsh_2025,2.00,21.00,3.00,27.00,62.23
Walsh,2025,Walsh_2025,3.00,6.00,5.00,27.00,57.82
Akron,2025,Akron_2025,1.00,7.00,2.00,27.00,41.07
Akron,2025,Akron_2025,2.00,3.00,8.00,27.00,49.26
Akron,2025,Akron_2025,3.00,11.00,12.00,27.00,49.36
Genoa,2025,Genoa_2025,1.00,23.00,2.00,27.00,53.49
Genoa,2025,Genoa_2025,2.00,1.00,4.00,27.00,38.20
Genoa,2025,Genoa_2025,3.00,12.00,6.00,27.00,51.38
Julesburg,2025,Julesburg_2025,1.00,5.00,4.00,27.00,67.61
Julesburg,2025,Julesburg_2025,2.00,3.00,8.00,27.00,51.48
Julesburg,2025,Julesburg_2025,3.00,7.00,11.00,27.00,53.66
Orchard,2025,Orchard_2025,1.00,13.00,1.00,27.00,22.66
Orchard,2025,Orchard_2025,2.00,14.00,4.00,27.00,18.76
Orchard,2025,Orchard_2025,3.00,1.00,8.00,27.00,27.63
Yuma,2025,Yuma_2025,1.00,20.00,1.00,27.00,96.98
Yuma,2025,Yuma_2025,2.00,21.00,4.00,27.00,89.77
Yuma,2025,Yuma_2025,3.00,6.00,5.00,27.00,89.33
Burlington,2025,Burlington_2025,1.00,6.00,4.00,28.00,54.96
Burlington,2025,Burlington_2025,2.00,10.00,7.00,28.00,58.48
Burlington,2025,Burlington_2025,3.00,3.00,10.00,28.00,59.63
Lamar,2025,Lamar_2025,1.00,3.00,1.00,28.00,83.33
Lamar,2025,Lamar_2025,2.00,16.00,3.00,28.00,77.41
Lamar,2025,Lamar_2025,3.00,7.00,6.00,28.00,78.90
SLake,2025,SLake_2025,1.00,12.00,1.00,28.00,65.20
SLake,2025,SLake_2025,2.00,9.00,4.00,28.00,69.42
SLake,2025,SLake_2025,3.00,4.00,6.00,28.00,64.93
Walsh,2025,Walsh_2025,1.00,14.00,1.00,28.00,56.80
Walsh,2025,Walsh_2025,2.00,12.00,3.00,28.00,71.06
Walsh,2025,Walsh_2025,3.00,11.00,5.00,28.00,60.87
Akron,2025,Akron_2025,1.00,13.00,2.00,28.00,37.49
Akron,2025,Akron_2025,2.00,6.00,7.00,28.00,40.01
Akron,2025,Akron_2025,3.00,2.00,9.00,28.00,37.94
Genoa,2025,Genoa_2025,1.00,25.00,1.00,28.00,45.14
Genoa,2025,Genoa_2025,2.00,4.00,4.00,28.00,30.53
Genoa,2025,Genoa_2025,3.00,21.00,6.00,28.00,49.74
Julesburg,2025,Julesburg_2025,1.00,7.00,1.00,28.00,53.84
Julesburg,2025,Julesburg_2025,2.00,5.00,6.00,28.00,59.25
Julesburg,2025,Julesburg_2025,3.00,13.00,12.00,28.00,55.80
Orchard,2025,Orchard_2025,1.00,16.00,2.00,28.00,32.24
Orchard,2025,Orchard_2025,2.00,17.00,5.00,28.00,26.78
Orchard,2025,Orchard_2025,3.00,10.00,8.00,28.00,44.77
Yuma,2025,Yuma_2025,1.00,2.00,2.00,28.00,95.42
Yuma,2025,Yuma_2025,2.00,19.00,3.00,28.00,84.88
Yuma,2025,Yuma_2025,3.00,6.00,6.00,28.00,81.88
Burlington,2025,Burlington_2025,1.00,6.00,3.00,29.00,63.55
Burlington,2025,Burlington_2025,2.00,7.00,8.00,29.00,65.81
Burlington,2025,Burlington_2025,3.00,2.00,12.00,29.00,66.51
Lamar,2025,Lamar_2025,1.00,8.00,1.00,29.00,69.95
Lamar,2025,Lamar_2025,2.00,17.00,3.00,29.00,68.50
Lamar,2025,Lamar_2025,3.00,9.00,6.00,29.00,66.55
SLake,2025,SLake_2025,1.00,17.00,1.00,29.00,61.13
SLake,2025,SLake_2025,2.00,7.00,4.00,29.00,62.50
SLake,2025,SLake_2025,3.00,11.00,5.00,29.00,62.43
Walsh,2025,Walsh_2025,1.00,16.00,1.00,29.00,64.64
Walsh,2025,Walsh_2025,2.00,14.00,3.00,29.00,69.68
Walsh,2025,Walsh_2025,3.00,21.00,5.00,29.00,55.23
Akron,2025,Akron_2025,1.00,3.00,2.00,29.00,47.64
Akron,2025,Akron_2025,2.00,13.00,6.00,29.00,44.15
Akron,2025,Akron_2025,3.00,4.00,12.00,29.00,37.58
Genoa,2025,Genoa_2025,1.00,1.00,1.00,29.00,33.92
Genoa,2025,Genoa_2025,2.00,10.00,4.00,29.00,48.66
Genoa,2025,Genoa_2025,3.00,4.00,6.00,29.00,46.73
Julesburg,2025,Julesburg_2025,1.00,13.00,4.00,29.00,69.68
Julesburg,2025,Julesburg_2025,2.00,5.00,5.00,29.00,59.81
Julesburg,2025,Julesburg_2025,3.00,6.00,12.00,29.00,71.93
Orchard,2025,Orchard_2025,1.00,12.00,2.00,29.00,23.54
Orchard,2025,Orchard_2025,2.00,7.00,4.00,29.00,21.27
Orchard,2025,Orchard_2025,3.00,10.00,9.00,29.00,29.77
Yuma,2025,Yuma_2025,1.00,22.00,2.00,29.00,91.59
Yuma,2025,Yuma_2025,2.00,18.00,3.00,29.00,88.06
Yuma,2025,Yuma_2025,3.00,4.00,6.00,29.00,82.25
Burlington,2025,Burlington_2025,1.00,8.00,2.00,30.00,46.96
Burlington,2025,Burlington_2025,2.00,11.00,7.00,30.00,52.34
Burlington,2025,Burlington_2025,3.00,9.00,12.00,30.00,55.56
Lamar,2025,Lamar_2025,1.00,9.00,2.00,30.00,69.00
Lamar,2025,Lamar_2025,2.00,2.00,3.00,30.00,54.54
Lamar,2025,Lamar_2025,3.00,14.00,6.00,30.00,68.77
SLake,2025,SLake_2025,1.00,15.00,1.00,30.00,58.53
SLake,2025,SLake_2025,2.00,9.00,3.00,30.00,66.80
SLake,2025,SLake_2025,3.00,18.00,5.00,30.00,61.07
Walsh,2025,Walsh_2025,1.00,7.00,2.00,30.00,62.85
Walsh,2025,Walsh_2025,2.00,3.00,3.00,30.00,67.11
Walsh,2025,Walsh_2025,3.00,16.00,6.00,30.00,60.80
Akron,2025,Akron_2025,1.00,8.00,3.00,30.00,46.42
Akron,2025,Akron_2025,2.00,6.00,5.00,30.00,35.75
Akron,2025,Akron_2025,3.00,12.00,9.00,30.00,39.78
Genoa,2025,Genoa_2025,1.00,23.00,1.00,30.00,54.08
Genoa,2025,Genoa_2025,2.00,24.00,3.00,30.00,50.04
Genoa,2025,Genoa_2025,3.00,15.00,6.00,30.00,51.81
Julesburg,2025,Julesburg_2025,1.00,9.00,3.00,30.00,55.53
Julesburg,2025,Julesburg_2025,2.00,2.00,8.00,30.00,43.37
Julesburg,2025,Julesburg_2025,3.00,6.00,9.00,30.00,58.61
Orchard,2025,Orchard_2025,1.00,5.00,3.00,30.00,33.92
Orchard,2025,Orchard_2025,2.00,4.00,5.00,30.00,27.66
Orchard,2025,Orchard_2025,3.00,3.00,9.00,30.00,41.21
Yuma,2025,Yuma_2025,1.00,14.00,1.00,30.00,81.49
Yuma,2025,Yuma_2025,2.00,19.00,4.00,30.00,82.74
Yuma,2025,Yuma_2025,3.00,24.00,6.00,30.00,74.99
Burlington,2025,Burlington_2025,1.00,7.00,1.00,31.00,60.87
Burlington,2025,Burlington_2025,2.00,5.00,6.00,31.00,62.56
Burlington,2025,Burlington_2025,3.00,10.00,10.00,31.00,68.83
Lamar,2025,Lamar_2025,1.00,20.00,2.00,31.00,62.96
Lamar,2025,Lamar_2025,2.00,15.00,4.00,31.00,65.29
Lamar,2025,Lamar_2025,3.00,8.00,5.00,31.00,69.90
SLake,2025,SLake_2025,1.00,4.00,1.00,31.00,63.81
SLake,2025,SLake_2025,2.00,19.00,4.00,31.00,57.79
SLake,2025,SLake_2025,3.00,8.00,6.00,31.00,58.03
Walsh,2025,Walsh_2025,1.00,16.00,2.00,31.00,63.49
Walsh,2025,Walsh_2025,2.00,14.00,4.00,31.00,56.33
Walsh,2025,Walsh_2025,3.00,4.00,5.00,31.00,54.19
Akron,2025,Akron_2025,1.00,9.00,4.00,31.00,44.33
Akron,2025,Akron_2025,2.00,7.00,8.00,31.00,44.54
Akron,2025,Akron_2025,3.00,8.00,9.00,31.00,46.08
Genoa,2025,Genoa_2025,1.00,13.00,1.00,31.00,44.86
Genoa,2025,Genoa_2025,2.00,23.00,3.00,31.00,44.32
Genoa,2025,Genoa_2025,3.00,5.00,5.00,31.00,27.89
Julesburg,2025,Julesburg_2025,1.00,12.00,3.00,31.00,44.51
Julesburg,2025,Julesburg_2025,2.00,13.00,7.00,31.00,59.10
Julesburg,2025,Julesburg_2025,3.00,5.00,11.00,31.00,69.19
Orchard,2025,Orchard_2025,1.00,7.00,2.00,31.00,26.01
Orchard,2025,Orchard_2025,2.00,6.00,4.00,31.00,26.28
Orchard,2025,Orchard_2025,3.00,16.00,9.00,31.00,24.34
Yuma,2025,Yuma_2025,1.00,12.00,2.00,31.00,86.49
